method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
edgeRLRT,GSE45719sim123,full-length,,24,4,thr0.05,0.700538599640934,0.110351117191062,0.949741954696091,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,24,4,thr0.05,0.331059245960503,0.0610997963340122,0.850018699251782,0,in range
edgeRLRTdeconv,GSE45719sim123,full-length,,24,4,thr0.05,0.703052064631957,0.10919017288444,0.950153775303905,0,high FDP
edgeRLRTrobust,GSE45719sim123,full-length,,24,4,thr0.05,0.676122082585278,0.244078683259735,0.918464334691985,0,high FDP
edgeRQLF,GSE45719sim123,full-length,,24,4,thr0.05,0.836265709156194,0.47556856563837,0.94430244652065,0,high FDP
edgeRQLFDetRate,GSE45719sim123,full-length,,24,4,thr0.05,0.814721723518851,0.46001903855307,0.938931572685019,0,high FDP
limmatrend,GSE45719sim123,full-length,,24,4,thr0.05,0.469299820466786,0.0289747399702823,0.915857948915713,0,low FDP
logregLRT,GSE45719sim123,full-length,,24,4,thr0.05,0.573788150807899,0.0499405469678954,0.921333187449546,0,in range
MASTcpm,GSE45719sim123,full-length,,24,4,thr0.05,0.516337522441652,0.0551905387647832,0.917337542692497,0,in range
MASTcpmDetRate,GSE45719sim123,full-length,,24,4,thr0.05,0.522441651705566,0.0720663265306122,0.915424304015597,0,in range
MASTtpm,GSE45719sim123,full-length,,24,4,thr0.05,0.515619389587074,0.0632746249184605,0.916892373750184,0,in range
MASTtpmDetRate,GSE45719sim123,full-length,,24,4,thr0.05,0.523877917414722,0.0800756620428752,0.914518712436685,0,in range
metagenomeSeq,GSE45719sim123,full-length,,24,4,thr0.05,0.189946140035907,0.0485611510791367,0.603889240405361,0.184572199336517,in range
monocle,GSE45719sim123,full-length,,24,4,thr0.05,0.277917414721724,0.263558515699334,0.546678518995949,0,high FDP
monoclecensus,GSE45719sim123,full-length,,24,4,thr0.05,0.312028725314183,0.131,0.695885909651218,0,in range
monoclecount,GSE45719sim123,full-length,,24,4,thr0.05,0.74721723518851,0.447717622080679,0.934560536988315,0,high FDP
NODES,GSE45719sim123,full-length,,24,4,thr0.05,0.465350089766607,0.161165048543689,0.879296001944081,0.0445116838613248,high FDP
ROTScpm,GSE45719sim123,full-length,,24,4,thr0.05,0.212567324955117,0.0451612903225806,0.735865682116216,0,low FDP
ROTStpm,GSE45719sim123,full-length,,24,4,thr0.05,0.184201077199282,0.0393258426966292,0.746136976426413,0,in range
ROTSvoom,GSE45719sim123,full-length,,24,4,thr0.05,0.476122082585278,0.037037037037037,0.889347530875619,0,low FDP
SAMseq,GSE45719sim123,full-length,,24,4,thr0.05,0.432675044883303,0.054160125588697,0.855111874265269,0.0777587401115526,in range
scDD,GSE45719sim123,full-length,,24,4,thr0.05,0.261400359066427,0.021505376344086,0.603958224400054,0.23841639021545,low FDP
SCDE,GSE45719sim123,full-length,,24,4,thr0.05,0.530700179533214,0.0301837270341207,0.91873129619542,0,low FDP
SeuratBimod,GSE45719sim123,full-length,,24,4,thr0.05,0.293716337522442,0.226111636707663,0.641137727455965,0.949546133936058,high FDP
SeuratBimodIsExpr2,GSE45719sim123,full-length,,24,4,thr0.05,0.113824057450628,0.0305810397553517,0.555869896914456,0.985126316940688,in range
SeuratBimodnofilt,GSE45719sim123,full-length,,24,4,thr0.05,0.721005385996409,0.627458256029685,0.867825733754415,0,high FDP
SeuratTobit,GSE45719sim123,full-length,,24,4,thr0.05,0.245960502692998,0.0459610027855153,0.567834191031906,0.379898654806606,in range
ttest,GSE45719sim123,full-length,,24,4,thr0.05,0.41149012567325,0.0230179028132992,0.916707515584045,0,low FDP
